track_id,track_name,track_artist_name,track_popularity,track_lyrics
62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),Pitbull,75,
7ElF5zxOwYP4qVSWVvse3W,Break Your Heart,Taio Cruz,75,
1xNcBAoUw8Hz6LqK2jt4Ff,Call on Me - Radio Mix,Eric Prydz,74,
1Fhb9iJPufNMZSwupsXiRe,beside you,keshi,74,
54KFQB6N4pn926IUUYZGzK,To Build A Home,The Cinematic Orchestra,74,
1B75hgRqe7A4fwee3g3Wmu,U Can't Touch This,MC Hammer,74,
66hayvUbTotekKU3H4ta1f,Where Are Ü Now (with Justin Bieber),Jack Ü,74,
2lnzGkdtDj5mtlcOW2yRtG,"Whenever, Wherever",Shakira,74,
4lCv7b86sLynZbXhfScfm2,Firework,Katy Perry,74,
3GpbwCm3YxiWDvy29Uo3vP,Right Round,Flo Rida,74,
5MhsZlmKJG6X5kTHkdwC4B,I'm an Albatraoz,AronChupa,73,
6KBYefIoo7KydImq1uUQlL,Bodak Yellow,Cardi B,73,
0TwBtDAWpkpM3srywFVOV5,Crazy In Love (feat. Jay-Z),Beyoncé,73,
4cS2HQ6jK80vqdY9ofpztx,She Wolf,Shakira,73,
0YammaEkYSeo9vQYZ1OwS6,Say My Name,David Guetta,73,
1Lim1Py7xBgbAkAys3AGAG,Lean On,Major Lazer,73,
3Dzso9Q2WwupEclqgxBZht,Pumped Up Kicks,Madism,72,
4vp2J1l5RD4gMZwGFLfRAu,I Gotta Feeling,Black Eyed Peas,72,
55qBw1900pZKfXJ6Q9A2Lc,Teenage Dream,Katy Perry,72,
37R0bQOQj5a7DOqh1TGzvB,One Call Away,Charlie Puth,72,
4NeOWqHmlrGRuBvsLJC9rL,My Love (feat. T.I.),Justin Timberlake,72,
0Oe49j06Bjrxs8PltuVeaW,On The Floor - Radio Edit,Jennifer Lopez,72,
4RY96Asd9IefaL3X4LOLZ8,In Da Club,50 Cent,72,
1smFN2CLqGROu0J0UyvDfL,Shayad,Pritam,72,
2ayIgfvWo3SfYP2pVOr4pC,Gone,ROSÉ,72,
67awxiNHNyjMXhVgsHuIrs,Turn Down for What,DJ Snake,72,
19eIZmuXlBmLTha1lPHef7,Alors On Danse - DubDogz Remix,Stromae,71,
0ZHILXmUaVSLEOCWxPQ1ga,Makhna,Tanishk Bagchi,71,
05SBRd4fXgn8FX7bf8BCAE,I Need Your Love (feat. Ellie Goulding),Calvin Harris,71,
