track_id,track_name,track_artist_name,track_popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,Calum Scott,82,0.918,https://api.spotify.com/v1/audio-analysis/69vToJ9BMbbLlFZo7k7A7B,0.329,204326.0,0.235,0.0,10.0,0.137,-7.699,1.0,0.0303,171.006,3.0,https://api.spotify.com/v1/tracks/69vToJ9BMbbLlFZo7k7A7B,audio_features,spotify:track:69vToJ9BMbbLlFZo7k7A7B,0.22
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,82,0.859,https://api.spotify.com/v1/audio-analysis/5O2P9iiztwhomNh8xkR9lJ,0.672,226600.0,0.52,0.0,8.0,0.115,-7.747,1.0,0.0353,120.001,4.0,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,audio_features,spotify:track:5O2P9iiztwhomNh8xkR9lJ,0.37
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Mark Ronson,82,0.00801,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,0.856,269667.0,0.609,8.15e-05,0.0,0.0344,-7.223,1.0,0.0824,114.988,4.0,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.928
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,82,0.009,https://api.spotify.com/v1/audio-analysis/4cluDES4hQEUhmXj6TXkSo,0.726,199987.0,0.787,0.0,4.0,0.0596,-2.494,1.0,0.0737,124.99,4.0,https://api.spotify.com/v1/tracks/4cluDES4hQEUhmXj6TXkSo,audio_features,spotify:track:4cluDES4hQEUhmXj6TXkSo,0.888
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),Usher,82,0.0183,https://api.spotify.com/v1/audio-analysis/5rb9QrpfcKFHM1EUbSIurX,0.894,250373.0,0.791,0.0,2.0,0.0388,-4.699,1.0,0.112,105.018,4.0,https://api.spotify.com/v1/tracks/5rb9QrpfcKFHM1EUbSIurX,audio_features,spotify:track:5rb9QrpfcKFHM1EUbSIurX,0.583
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,81,0.595,https://api.spotify.com/v1/audio-analysis/1EzrEOXmMH3G43AXT1y7pA,0.686,242187.0,0.457,0.0,11.0,0.105,-8.322,1.0,0.0468,150.953,4.0,https://api.spotify.com/v1/tracks/1EzrEOXmMH3G43AXT1y7pA,audio_features,spotify:track:1EzrEOXmMH3G43AXT1y7pA,0.718
6YUTL4dYpB9xZO5qExPf05,Summer,Calvin Harris,81,0.0211,https://api.spotify.com/v1/audio-analysis/6YUTL4dYpB9xZO5qExPf05,0.596,222533.0,0.856,0.0178,4.0,0.141,-3.556,0.0,0.0346,127.949,4.0,https://api.spotify.com/v1/tracks/6YUTL4dYpB9xZO5qExPf05,audio_features,spotify:track:6YUTL4dYpB9xZO5qExPf05,0.743
4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,81,0.191,https://api.spotify.com/v1/audio-analysis/4QNpBfC0zvjKqPJcyqBy9W,0.671,252307.0,0.939,0.0,8.0,0.298,-3.206,1.0,0.161,129.024,4.0,https://api.spotify.com/v1/tracks/4QNpBfC0zvjKqPJcyqBy9W,audio_features,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,0.53
2CEgGE6aESpnmtfiZwYlbV,Dynamite,Taio Cruz,81,0.00379,https://api.spotify.com/v1/audio-analysis/2CEgGE6aESpnmtfiZwYlbV,0.751,202613.0,0.783,0.0,4.0,0.036,-3.724,1.0,0.0859,119.975,4.0,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,audio_features,spotify:track:2CEgGE6aESpnmtfiZwYlbV,0.816
1OOtq8tRnDM8kG2gqUPjAj,Beat It,Michael Jackson,81,0.0491,https://api.spotify.com/v1/audio-analysis/1OOtq8tRnDM8kG2gqUPjAj,0.779,258040.0,0.867,7.98e-06,3.0,0.197,-3.704,0.0,0.0457,138.858,4.0,https://api.spotify.com/v1/tracks/1OOtq8tRnDM8kG2gqUPjAj,audio_features,spotify:track:1OOtq8tRnDM8kG2gqUPjAj,0.915
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,French Montana,81,0.0293,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,0.726,233902.0,0.769,0.0101,6.0,0.104,-5.043,1.0,0.123,97.985,4.0,https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe,audio_features,spotify:track:3B54sVLJ402zGa6Xm4YGNe,0.733
0azC730Exh71aQlOt9Zj3y,This Is What You Came For (feat. Rihanna),Calvin Harris,80,0.199,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,0.631,222160.0,0.927,0.119,9.0,0.148,-2.787,0.0,0.0332,123.962,4.0,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,audio_features,spotify:track:0azC730Exh71aQlOt9Zj3y,0.465
6lanRgr6wXibZr8KgzXxBl,A Thousand Years,Christina Perri,80,0.309,https://api.spotify.com/v1/audio-analysis/6lanRgr6wXibZr8KgzXxBl,0.421,285120.0,0.407,0.000961,10.0,0.11,-7.445,1.0,0.0267,139.028,3.0,https://api.spotify.com/v1/tracks/6lanRgr6wXibZr8KgzXxBl,audio_features,spotify:track:6lanRgr6wXibZr8KgzXxBl,0.161
60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""",Pharrell Williams,80,0.219,https://api.spotify.com/v1/audio-analysis/60nZcImufyMA1MKQY3dcCH,0.647,232720.0,0.822,0.0,5.0,0.0908,-4.662,0.0,0.183,160.019,4.0,https://api.spotify.com/v1/tracks/60nZcImufyMA1MKQY3dcCH,audio_features,spotify:track:60nZcImufyMA1MKQY3dcCH,0.962
